"Action","Action"
"All types","Tous les types"
"Backup file doesn't exist","Le fichier de sauvegarde n'existe pas"
"Backups","Sauvegardes"
"Backups Control","Contrôle de sauvegarde"
"Cannot read backup file","Impossible de lire le fichier de sauvegarde"
"Create Backup","Créer une sauvegarde"
"DB","BDD"
"Download","Télécharger"
"Duplicate Row #%s (Country ""%s"", Region/State ""%s"", Zip ""%s"" and Value ""%s"")","Dupliquer la ligne #%s (Pays ""%s"", Région/État ""%s"", Code postal ""%s"" et Valeur ""%s"")"
"File compressed with Zlib, but this extension is not installed on server","Fichier compressé avec Zlib, mais cette extension n'est pas installée sur le serveur"
"Time","Heure"
"Type","Type"
"Wrong order of creation for new backup","Ordre de création incorrect pour la nouvelle sauvegarde"
